,week,customer,employee,total,p.cust,p.emp,p.tot
19,2/24/20,1450659,221247,1671906,1,1,1
20,3/2/20,1216646,191967,1408613,0.838685039,0.867659222,0.842519256
21,3/9/20,1001698,161324,1163022,0.690512381,0.729157909,0.695626429
22,3/16/20,610446,115861,726307,0.420805992,0.523672637,0.434418562
23,3/23/20,475260,108632,583892,0.327616621,0.490998748,0.349237338
24,3/30/20,438828,82168,520996,0.302502518,0.371385827,0.311617998
25,4/6/20,440093,76221,516314,0.303374535,0.344506366,0.308817601
26,4/13/20,446301,78240,524541,0.30765397,0.353631914,0.313738332
27,4/20/20,465357,88678,554035,0.320790069,0.400809954,0.331379276
28,4/27/20,483904,85967,569871,0.333575292,0.388556681,0.3408511
29,5/4/20,551580,81563,633143,0.380227193,0.368651326,0.378695333
30,5/11/20,532715,89645,622360,0.367222759,0.405180635,0.372245808
31,5/18/20,566492,95576,662068,0.390506659,0.431987778,0.395995947
32,5/25/20,,,,0.5,0.5,
33,6/1/20,,,,0.54,0.54,
