,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,84198.91641631704,94388.29918975217,92416.30757001904,88701.19124280251,86884.15133224078,86341.98668602454,86697.60125694594,86524.61099599891
num_tested,0.0,0.0,0.0,0.0,0.0,926.8,1822.6,3664.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,40.8,326.8
test_pos,0.0,0.0,0.0,0.0,0.0,93.6,159.4,326.8
school_days_lost,0.0,0.0,0.0,0.0,46936.4,46553.4,49903.2,67055.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[83.6],[220.6],[183.6],[133.4],[110.8],[109.6],[118.0],[115.2]
student_cases,[10.8],[53.4],[38.0],[20.2],[13.6],[14.8],[16.4],[13.0]
teacher_cases,[0.2],[3.0],[2.6],[0.4],[1.4],[0.8],[1.2],[1.6]
cases_in_pk,[0.8],[3.0],[3.0],[1.8],[0.4],[0.4],[0.8],[1.4]
cases_in_es,[2.6],[10.2],[7.0],[3.8],[3.4],[2.4],[4.8],[2.8]
cases_in_ms,[0.8],[4.0],[4.0],[2.8],[2.8],[3.2],[1.6],[1.4]
cases_in_hs,[2.2],[14.2],[10.2],[6.0],[4.4],[6.0],[5.4],[4.4]
cases_in_uv,[4.6],[25.0],[16.4],[6.2],[4.0],[3.6],[5.0],[4.6]
pk_with_a_case,[0.8],[2.0],[2.6],[1.6],[0.4],[0.4],[0.8],[1.0]
es_with_a_case,[2.4],[6.6],[5.2],[3.4],[3.0],[2.4],[3.4],[2.8]
ms_with_a_case,[0.6],[2.8],[2.8],[2.2],[2.0],[2.8],[1.4],[1.2]
hs_with_a_case,[1.8],[7.2],[6.2],[4.0],[3.4],[4.0],[3.2],[3.0]
uv_with_a_case,[4.0],[14.0],[12.0],[6.2],[4.0],[3.6],[4.8],[4.6]
