,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,90873.64348073638,106450.62984147535,99463.96884010705,94367.97657052122,93918.51332155112,89787.57966757161,92844.1868185343,90487.10324083423
num_tested,0.0,0.0,0.0,0.0,0.0,942.0,1870.4,3714.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,52.0,378.6
test_pos,0.0,0.0,0.0,0.0,0.0,102.2,194.6,378.6
school_days_lost,0.0,0.0,0.0,0.0,48101.2,46954.6,51406.4,72592.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[162.8],[341.0],[260.0],[195.2],[200.6],[150.6],[200.0],[154.2]
student_cases,[17.2],[63.8],[47.4],[27.8],[26.0],[17.0],[25.2],[20.0]
teacher_cases,[1.8],[4.8],[3.0],[3.4],[1.8],[2.6],[1.4],[2.2]
cases_in_pk,[2.2],[5.6],[4.0],[2.6],[1.2],[1.0],[1.2],[1.2]
cases_in_es,[2.6],[9.4],[8.4],[7.0],[5.2],[4.4],[7.2],[5.0]
cases_in_ms,[3.0],[3.0],[3.6],[3.6],[5.2],[3.2],[3.8],[3.2]
cases_in_hs,[5.4],[16.2],[11.2],[9.0],[8.4],[4.4],[6.4],[7.2]
cases_in_uv,[5.8],[34.4],[23.2],[9.0],[7.8],[6.6],[8.0],[5.6]
pk_with_a_case,[2.0],[3.2],[2.4],[2.2],[0.8],[1.0],[1.2],[1.2]
es_with_a_case,[2.6],[6.4],[6.2],[4.8],[4.2],[4.2],[5.8],[4.2]
ms_with_a_case,[2.8],[2.2],[3.2],[2.6],[3.2],[2.2],[2.4],[2.4]
hs_with_a_case,[4.6],[7.8],[6.2],[4.2],[6.2],[3.2],[5.2],[5.2]
uv_with_a_case,[5.6],[20.0],[16.2],[8.2],[7.6],[6.6],[7.4],[5.6]
