,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,125553.27350579493,221208.27822800493,176231.87210561094,143939.43384181292,137360.51075127732,132272.86024203774,129244.55214633055,123435.40000781871
num_tested,0.0,0.0,0.0,0.0,0.0,1147.4,2172.6,4094.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,119.8,762.0
test_pos,0.0,0.0,0.0,0.0,0.0,307.2,495.8,762.0
school_days_lost,0.0,0.0,0.0,0.0,53701.2,51143.8,61446.0,97771.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[334.2],[1232.0],[867.2],[534.0],[453.8],[401.8],[365.4],[334.0]
student_cases,[38.0],[349.8],[187.8],[91.4],[58.4],[63.0],[48.2],[49.2]
teacher_cases,[3.4],[24.8],[10.8],[7.2],[4.2],[2.2],[3.6],[3.8]
cases_in_pk,[2.4],[20.2],[9.8],[5.0],[4.2],[3.6],[2.6],[3.8]
cases_in_es,[9.4],[51.2],[30.6],[22.4],[12.8],[14.4],[10.2],[12.4]
cases_in_ms,[5.2],[22.4],[14.6],[10.8],[9.2],[7.4],[5.6],[7.2]
cases_in_hs,[10.0],[76.8],[44.6],[35.6],[19.4],[19.2],[14.2],[14.2]
cases_in_uv,[14.4],[204.0],[99.0],[24.8],[17.0],[20.6],[19.2],[15.4]
pk_with_a_case,[2.2],[8.2],[4.4],[3.8],[3.4],[2.6],[2.4],[2.8]
es_with_a_case,[7.6],[16.8],[15.0],[12.2],[8.0],[9.6],[6.8],[8.2]
ms_with_a_case,[4.4],[10.4],[7.6],[6.6],[5.8],[5.2],[4.8],[4.8]
hs_with_a_case,[7.0],[15.4],[14.6],[11.4],[9.2],[9.2],[7.4],[8.4]
uv_with_a_case,[12.8],[59.8],[44.0],[22.4],[16.0],[18.2],[18.6],[14.2]
