,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,107775.64735307249,122929.31530879562,116432.00282349609,112117.04045065379,110673.40590011596,109524.07441409137,108561.89368483666,106116.06557521349
num_tested,0.0,0.0,0.0,0.0,0.0,973.4,1843.4,3636.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,44.8,302.2
test_pos,0.0,0.0,0.0,0.0,0.0,141.0,197.4,302.2
school_days_lost,0.0,0.0,0.0,0.0,48263.6,47728.8,51051.8,67821.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[140.0],[314.2],[250.0],[203.6],[177.6],[165.0],[168.8],[121.6]
student_cases,[14.0],[69.6],[49.0],[34.2],[18.6],[22.6],[22.4],[13.4]
teacher_cases,[1.6],[6.6],[3.8],[3.0],[2.0],[1.2],[1.8],[1.6]
cases_in_pk,[2.0],[5.4],[4.0],[3.2],[2.0],[0.8],[1.2],[0.4]
cases_in_es,[4.0],[10.8],[8.0],[6.8],[4.0],[5.2],[5.8],[3.6]
cases_in_ms,[1.2],[4.6],[4.6],[5.8],[2.2],[1.8],[2.2],[2.2]
cases_in_hs,[4.2],[18.2],[12.8],[11.6],[5.0],[9.2],[8.0],[3.0]
cases_in_uv,[4.2],[37.2],[23.4],[9.8],[7.4],[6.8],[7.0],[5.8]
pk_with_a_case,[1.6],[3.0],[3.0],[2.2],[1.8],[0.8],[1.0],[0.4]
es_with_a_case,[3.4],[7.2],[5.8],[4.6],[3.8],[4.4],[4.8],[3.4]
ms_with_a_case,[1.2],[3.2],[3.4],[3.8],[1.8],[1.4],[2.0],[1.8]
hs_with_a_case,[3.2],[8.4],[7.4],[7.0],[3.2],[5.8],[4.8],[2.4]
uv_with_a_case,[4.2],[19.8],[14.0],[9.4],[7.2],[6.2],[6.8],[5.8]
