,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,200424.68794790225,296938.9710435687,248862.9026368438,216609.28901719901,203872.1356439468,189900.63169781034,184617.78885159202
num_tested,0.0,0.0,0.0,0.0,1655.8,2805.0,5368.4
num_traced,0.0,0.0,0.0,0.0,0.0,290.8,2047.6
test_pos,0.0,0.0,0.0,0.0,816.4,1122.6,2047.6
school_days_lost,0.0,0.0,0.0,70898.8,64019.0,84150.0,174531.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1082.4],[2065.2],[1575.8],[1228.2],[1132.8],[955.8],[920.0]
student_cases,[125.2],[453.2],[239.2],[162.0],[152.4],[132.2],[115.0]
teacher_cases,[9.6],[39.6],[18.4],[12.6],[11.6],[8.0],[7.2]
cases_in_pk,[11.8],[26.8],[18.2],[11.4],[10.2],[8.6],[7.4]
cases_in_es,[24.0],[77.2],[58.4],[36.2],[34.6],[29.8],[28.0]
cases_in_ms,[17.0],[47.4],[34.8],[22.4],[22.2],[20.0],[17.8]
cases_in_hs,[34.4],[107.6],[82.4],[49.6],[45.4],[38.0],[32.8]
cases_in_uv,[47.6],[233.8],[63.8],[55.0],[51.6],[43.8],[36.2]
pk_with_a_case,[7.2],[6.2],[8.0],[6.4],[5.6],[5.0],[5.4]
es_with_a_case,[13.6],[20.8],[19.0],[16.4],[16.8],[14.8],[13.8]
ms_with_a_case,[8.2],[11.0],[11.0],[10.4],[9.4],[8.8],[8.8]
hs_with_a_case,[12.6],[17.6],[16.6],[13.4],[14.2],[14.4],[12.4]
uv_with_a_case,[36.6],[83.6],[50.2],[43.4],[39.0],[36.4],[30.0]
