,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,186942.2774363206,238795.74286300322,221688.324487072,196488.64526280088,187797.66702606654,183781.83489318163,184270.76198778683,177678.717616249
num_tested,0.0,0.0,0.0,0.0,0.0,1492.2,2786.4,5369.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,274.0,2045.8
test_pos,0.0,0.0,0.0,0.0,0.0,665.0,1108.4,2045.8
school_days_lost,0.0,0.0,0.0,0.0,65385.6,60982.8,82212.8,173470.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1073.4],[1733.4],[1449.0],[1157.6],[1039.8],[971.4],[1018.2],[900.4]
student_cases,[129.0],[345.4],[240.4],[167.4],[132.8],[127.4],[128.4],[117.6]
teacher_cases,[8.4],[24.4],[18.8],[15.4],[10.2],[10.0],[7.0],[7.6]
cases_in_pk,[10.0],[23.6],[15.6],[11.8],[10.2],[9.8],[11.4],[9.4]
cases_in_es,[30.2],[56.2],[47.8],[36.8],[28.4],[28.8],[23.2],[29.8]
cases_in_ms,[14.0],[33.4],[21.8],[26.4],[16.8],[16.6],[17.2],[15.8]
cases_in_hs,[31.0],[76.4],[62.6],[56.2],[43.8],[42.2],[41.2],[32.2]
cases_in_uv,[52.2],[180.2],[111.4],[51.6],[43.8],[40.0],[42.4],[38.0]
pk_with_a_case,[5.6],[8.0],[7.6],[6.8],[6.2],[6.0],[5.6],[6.4]
es_with_a_case,[14.8],[18.4],[18.4],[15.2],[14.2],[15.8],[12.2],[15.0]
ms_with_a_case,[8.8],[10.8],[9.6],[10.6],[8.4],[7.8],[8.2],[8.0]
hs_with_a_case,[12.4],[16.6],[16.0],[15.0],[14.2],[12.8],[14.2],[12.2]
uv_with_a_case,[43.2],[70.8],[58.0],[41.2],[34.4],[33.2],[33.0],[31.4]
